Person ID,Gender,Current Grade,City,Roles
262394,Female,None,,Alum '96
262395,Male,None,,Alum '94
262396,Male,None,Winchester,Alum '96
262397,Female,None,Natick,Alum '96
262398,Female,None,Yakima,Alum '97
262399,Female,None,Milton,Alum '96
262400,Male,None,Philadelphia,Alum '54
262401,Male,None,Medway,Alum '96
262402,Male,None,Stratford,Alum '96
262403,Male,None,Whitefish Bay,Alum '93
262404,Male,None,,"DECEASED, Alum 1925"
262405,Male,None,Rye,Alum '96
262406,Male,None,North Chatham,Alum '54
262407,Male,None,Pelham,Alum '96
262408,Male,None,,"DECEASED, Alum 1926"
262409,Male,None,,"DECEASED, Alum 1926"
262410,Female,None,Marshfield,Alum '96
262411,Female,None,Seattle,Alum '96
262412,Male,None,,"DECEASED, Alum 1926"
262413,Female,None,"Putney, London SW15 2QB",Alum '96
262414,Female,None,Needham Heights,Alum '96
262415,Male,None,,"DECEASED, Alum '54"
262416,Male,None,,"DECEASED, Alum 1927"
262417,Male,None,,"DECEASED, Alum 1927"
262418,Male,None,,"DECEASED, Alum 1927"
262419,Male,None,,"DECEASED, Alum 1928"
262420,Male,None,,"DECEASED, Alum 1928"
262421,Male,None,,"DECEASED, Alum '96"
262422,Male,None,,"DECEASED, Alum 1925"
262423,Male,None,,"DECEASED, Alum '30"
262425,Male,None,,"DECEASED, Alum '30"
262426,Male,None,,"DECEASED, Alum '31"
262427,Male,None,Seattle,Alum '96
262428,Male,None,,"DECEASED, Alum '69"
262429,Male,None,Potomac,Alum '96
262430,Female,None,Madison,Alum '96
262431,Male,None,York,Alum '54
262432,Male,None,,"DECEASED, Alum '50"
262433,Male,None,Timonium,Alum '96
262434,Male,None,,"DECEASED, Alum '44"
262435,Female,None,Needham,Alum '96
262436,Male,None,,"DECEASED, Alum '42"
262437,Male,None,,"DECEASED, Alum '42"
262438,Male,None,,"DECEASED, Alum '41"
262439,Male,None,,"DECEASED, Alum '39"
262440,Male,None,Sherborn,Alum '54
262441,Female,None,Medfield,Alum '96
262442,Male,None,,"DECEASED, Alum '36"
262443,Female,None,Cheshire,Alum '96
262444,Female,None,Medfield,Alum '96
262445,Male,None,Needham,Alum '96
262446,Male,None,Rye,Alum '54
262447,Male,None,Brooklyn,Alum '96
262448,Female,None,Duxbury,Alum '96
262449,Male,None,New York,Alum '96
262450,Female,None,Potomac Falls,Alum '96
262451,Male,None,,Alum '54
262452,Male,None,D - 32051 Herford,Alum '91
262453,Female,None,Sherborn,"Alum '95, Prnt of Frmr Prg Stud"
262454,Female,None,Freeport,Alum '95
262455,Male,None,Norwell,Alum '95
262456,Male,None,West Hartford,Alum '95
262457,Male,None,Portland,"Alum '94, Brother of Alum"
262458,Male,None,,"DECEASED, Alum '54"
262459,Male,None,,"DECEASED, Alum 1925"
262460,Male,None,,"DECEASED, Alum 1929"
262461,Male,None,,"DECEASED, Alum 1929"
262462,Male,None,,"DECEASED, Alum '54"
262463,Male,None,,"DECEASED, Alum '54"
262464,Male,None,,"DECEASED, Alum '52"
262465,Male,None,,"DECEASED, Alum '50"
262466,Male,None,,"DECEASED, Alum '37"
262467,Male,None,,"DECEASED, Alum '31"
262468,Male,None,,"DECEASED, Alum '54"
262469,Female,None,Bethesda,Alum '95
262470,Male,None,Concord,Alum '95
262471,Male,None,,"DECEASED, Alum '54"
262472,Female,None,Ridgewood,Alum '95
262473,Male,None,Cambridge,Alum '54
262474,Female,None,Greensboro,Alum '94
262475,Male,None,Yarmouth,Alum '54
262476,Male,None,Cataumet,Alum '93
262477,Male,None,,"DECEASED, Alum 1927"
262478,Male,None,,"DECEASED, Alum '30"
262479,Male,None,,"DECEASED, Alum '30"
262480,Male,None,,"DECEASED, Alum '30"
262481,Male,None,Hanover,Alum '54
262482,Male,None,,"DECEASED, Alum '57"
262483,Male,None,,"DECEASED, Alum '57"
262484,Male,None,,"DECEASED, Alum '53"
262485,Male,None,Key Largo,Alum '54
262486,Male,None,,"DECEASED, Alum '47"
262487,Male,None,,"DECEASED, Alum '43"
262488,Male,None,,"DECEASED, Alum '38"
